ID,TARGET
1044,0
1383,0
739,0
445,0
14,0
899,0
991,1
1124,0
106,0
482,1
1051,0
483,0
187,0
702,0
174,0
1107,0
584,1
1327,1
1453,1
114,1
840,1
1039,0
1472,1
1239,0
516,1
699,1
686,0
111,1
820,0
1423,0
855,0
231,1
987,0
1177,0
625,1
1382,0
966,1
697,0
1170,0
444,0
651,1
1345,0
348,0
141,1
575,1
876,1
1088,0
117,1
1516,0
217,1
1417,1
1103,1
215,0
607,0
1085,1
724,0
113,0
469,1
898,0
1118,0
462,1
1037,0
1406,0
355,1
1145,0
1010,0
484,0
320,0
805,1
1296,0
951,0
544,0
1127,1
1331,1
671,0
704,1
376,0
110,1
762,0
223,1
948,0
51,0
495,1
541,1
1416,1
313,0
638,0
1287,0
1458,0
94,1
392,1
1303,0
681,1
504,0
1069,1
321,1
1196,0
179,1
1000,1
720,0
1001,1
390,1
1164,1
1161,0
331,1
205,0
1515,0
513,1
703,0
1275,1
618,1
1080,0
373,0
968,1
237,0
1499,0
137,1
920,1
538,0
965,1
881,0
1299,0
1252,0
