Season,home_team,away_team,home_goals,away_goals,result
1993-94,Arsenal,Coventry,0,3,A
1993-94,Aston Villa,QPR,4,1,H
1993-94,Chelsea,Blackburn,1,2,A
1993-94,Liverpool,Sheffield Weds,2,0,H
1993-94,Man City,Leeds,1,1,D
1993-94,Newcastle,Tottenham,0,1,A
1993-94,Oldham,Ipswich,0,3,A
1993-94,Sheffield United,Swindon,3,1,H
1993-94,Southampton,Everton,0,2,A
1993-94,West Ham,Wimbledon,0,2,A
1993-94,Norwich,Man United,0,2,A
1993-94,Tottenham,Arsenal,0,1,A
1993-94,Everton,Man City,-1,0,H
1993-94,Ipswich,Southampton,1,0,H
1993-94,Leeds,West Ham,1,0,H
1993-94,Wimbledon,Chelsea,1,1,D
1993-94,Blackburn,Norwich,2,3,A
1993-94,Coventry,Newcastle,2,1,H
1993-94,Man United,Sheffield United,3,0,H
1993-94,QPR,Liverpool,1,3,A
1993-94,Sheffield Weds,Aston Villa,0,0,D
1993-94,Swindon,Oldham,0,1,A
1993-94,Blackburn,Oldham,1,0,H
1993-94,Coventry,West Ham,1,1,D
1993-94,Everton,Sheffield United,4,2,H
1993-94,Ipswich,Chelsea,1,0,H
1993-94,Leeds,Norwich,0,4,A
1993-94,Man United,Newcastle,1,1,D
1993-94,QPR,Southampton,2,1,H
1993-94,Sheffield Weds,Arsenal,0,1,A
1993-94,Tottenham,Man City,1,0,H
1993-94,Wimbledon,Aston Villa,2,2,D
1993-94,Swindon,Liverpool,0,5,A
1993-94,Aston Villa,Man United,1,2,A
1993-94,Arsenal,Leeds,2,1,H
1993-94,Man City,Blackburn,0,2,A
1993-94,Oldham,Coventry,3,3,D
1993-94,Sheffield United,Wimbledon,2,1,H
1993-94,Chelsea,QPR,2,0,H
1993-94,Liverpool,Tottenham,1,2,A
1993-94,Newcastle,Everton,1,0,H
1993-94,Norwich,Ipswich,1,0,H
1993-94,Southampton,Swindon,5,1,H
1993-94,West Ham,Sheffield Weds,2,0,H
1993-94,Man City,Coventry,1,1,D
1993-94,Arsenal,Everton,2,0,H
1993-94,Aston Villa,Tottenham,1,0,H
1993-94,Chelsea,Sheffield Weds,1,1,D
